,Date,Type,B_Zero,B_Low,B_Medium,B_High
0,2021-03-01,Commercial,0,0,0.0,1.0
1,2021-03-01,Duplex,0,0,0.0,12.0
2,2021-03-01,Empty Lot,0,0,18.0,58.0
3,2021-03-01,Multi-Unit,0,0,0.0,3.0
4,2021-03-01,Other,0,0,3.0,3.0
5,2021-03-01,Single-Family,0,0,0.0,17.0
6,2021-03-01,Residential,0,0,0.0,32.0
7,2021-03-01,Mixed-Use/Other,0,0,3.0,3.0
8,2021-04-01,Commercial,0,0,0.0,1.0
9,2021-04-01,Duplex,0,0,0.0,12.0
10,2021-04-01,Empty Lot,0,0,0.0,42.0
11,2021-04-01,Multi-Unit,0,0,0.0,3.0
12,2021-04-01,Single-Family,0,0,0.0,16.0
13,2021-04-01,Residential,0,0,0.0,31.0
14,2021-04-01,Mixed-Use/Other,0,0,0.0,0.0
15,2021-04-13,Commercial,0,0,0.0,1.0
16,2021-04-13,Duplex,0,0,0.0,12.0
17,2021-04-13,Empty Lot,0,0,0.0,85.0
18,2021-04-13,Multi-Unit,0,0,0.0,3.0
19,2021-04-13,Single-Family,0,0,0.0,16.0
20,2021-04-13,Residential,0,0,0.0,31.0
21,2021-04-13,Mixed-Use/Other,0,0,0.0,0.0
22,2021-06-24,Commercial,0,0,0.0,1.0
23,2021-06-24,Duplex,0,0,0.0,12.0
24,2021-06-24,Empty Lot,0,0,0.0,84.0
25,2021-06-24,Multi-Unit,0,0,0.0,4.0
26,2021-06-24,Single-Family,0,0,0.0,16.0
27,2021-06-24,Residential,0,0,0.0,32.0
28,2021-06-24,Mixed-Use/Other,0,0,0.0,0.0
29,2021-07-17,Commercial,0,0,0.0,1.0
30,2021-07-17,Duplex,0,0,0.0,12.0
31,2021-07-17,Empty Lot,0,0,0.0,84.0
32,2021-07-17,Multi-Unit,0,0,0.0,4.0
33,2021-07-17,Single-Family,0,0,0.0,16.0
34,2021-07-17,Residential,0,0,0.0,32.0
35,2021-07-17,Mixed-Use/Other,0,0,0.0,0.0
36,2021-08-18,Commercial,0,0,0.0,1.0
37,2021-08-18,Duplex,0,0,0.0,12.0
38,2021-08-18,Empty Lot,0,0,0.0,84.0
39,2021-08-18,Multi-Unit,0,0,0.0,4.0
40,2021-08-18,Single-Family,0,0,0.0,16.0
41,2021-08-18,Residential,0,0,0.0,32.0
42,2021-08-18,Mixed-Use/Other,0,0,0.0,0.0
43,2021-09-22,Commercial,0,0,0.0,1.0
44,2021-09-22,Duplex,0,0,0.0,12.0
45,2021-09-22,Empty Lot,0,0,0.0,84.0
46,2021-09-22,Multi-Unit,0,0,0.0,4.0
47,2021-09-22,Single-Family,0,0,0.0,16.0
48,2021-09-22,Residential,0,0,0.0,32.0
49,2021-09-22,Mixed-Use/Other,0,0,0.0,0.0
50,2021-10-15,Commercial,0,0,0.0,1.0
51,2021-10-15,Duplex,0,0,0.0,12.0
52,2021-10-15,Empty Lot,0,0,0.0,82.0
53,2021-10-15,Multi-Unit,0,0,0.0,5.0
54,2021-10-15,Single-Family,0,0,0.0,16.0
55,2021-10-15,Residential,0,0,0.0,33.0
56,2021-10-15,Mixed-Use/Other,0,0,0.0,0.0
57,2021-11-24,Commercial,0,0,0.0,1.0
58,2021-11-24,Duplex,0,0,0.0,12.0
59,2021-11-24,Empty Lot,0,0,0.0,81.0
60,2021-11-24,Multi-Unit,0,0,0.0,5.0
61,2021-11-24,Single-Family,0,0,0.0,16.0
62,2021-11-24,Residential,0,0,0.0,33.0
63,2021-11-24,Mixed-Use/Other,0,0,0.0,0.0
64,2021-12-20,Commercial,0,0,0.0,1.0
65,2021-12-20,Duplex,0,0,0.0,12.0
66,2021-12-20,Empty Lot,0,0,0.0,81.0
67,2021-12-20,Multi-Unit,0,0,0.0,5.0
68,2021-12-20,Single-Family,0,0,0.0,16.0
69,2021-12-20,Residential,0,0,0.0,33.0
70,2021-12-20,Mixed-Use/Other,0,0,0.0,0.0
71,2021-12-22,Commercial,0,0,0.0,1.0
72,2021-12-22,Duplex,0,0,0.0,13.0
73,2021-12-22,Empty Lot,0,0,0.0,78.0
74,2021-12-22,Multi-Unit,0,0,0.0,4.0
75,2021-12-22,Single-Family,0,0,0.0,15.0
76,2021-12-22,Residential,0,0,0.0,32.0
77,2021-12-22,Mixed-Use/Other,0,0,0.0,0.0
78,2022-01-23,Commercial,0,0,0.0,1.0
79,2022-01-23,Duplex,0,0,0.0,13.0
80,2022-01-23,Empty Lot,0,0,0.0,78.0
81,2022-01-23,Multi-Unit,0,0,0.0,4.0
82,2022-01-23,Single-Family,0,0,0.0,15.0
83,2022-01-23,Residential,0,0,0.0,32.0
84,2022-01-23,Mixed-Use/Other,0,0,0.0,0.0
85,2022-02-21,Commercial,0,0,0.0,1.0
86,2022-02-21,Duplex,0,0,0.0,12.0
87,2022-02-21,Empty Lot,0,0,0.0,78.0
88,2022-02-21,Multi-Unit,0,0,0.0,4.0
89,2022-02-21,Single-Family,0,0,0.0,15.0
90,2022-02-21,Residential,0,0,0.0,31.0
91,2022-02-21,Mixed-Use/Other,0,0,0.0,0.0
92,2022-03-10,Commercial,0,0,0.0,1.0
93,2022-03-10,Duplex,0,0,0.0,12.0
94,2022-03-10,Empty Lot,0,0,0.0,78.0
95,2022-03-10,Multi-Unit,0,0,0.0,4.0
96,2022-03-10,Single-Family,0,0,0.0,15.0
97,2022-03-10,Residential,0,0,0.0,31.0
98,2022-03-10,Mixed-Use/Other,0,0,0.0,0.0
99,2022-04-23,Commercial,0,0,0.0,1.0
100,2022-04-23,Duplex,0,0,0.0,12.0
101,2022-04-23,Empty Lot,0,0,0.0,79.0
102,2022-04-23,Multi-Unit,0,0,0.0,4.0
