,Date,Type,V_Indeterminant,V_Possible,V_Very_Likely,V_Definite
0,2021-03-01,Commercial,0,0,0,1
1,2021-03-01,Duplex,0,0,0,12
2,2021-03-01,Empty Lot,0,0,0,76
3,2021-03-01,Multi-Unit,0,0,0,3
4,2021-03-01,Other,0,0,0,6
5,2021-03-01,Single-Family,0,0,0,17
6,2021-03-01,Residential,0,0,0,32
7,2021-03-01,Mixed-Use/Other,0,0,0,6
8,2021-04-01,Commercial,0,0,0,1
9,2021-04-01,Duplex,0,0,0,12
10,2021-04-01,Empty Lot,0,0,0,42
11,2021-04-01,Multi-Unit,0,0,0,3
12,2021-04-01,Single-Family,0,0,0,16
13,2021-04-01,Residential,0,0,0,31
14,2021-04-01,Mixed-Use/Other,0,0,0,0
15,2021-04-13,Commercial,0,0,0,1
16,2021-04-13,Duplex,0,0,0,12
17,2021-04-13,Empty Lot,0,0,0,85
18,2021-04-13,Multi-Unit,0,0,0,3
19,2021-04-13,Single-Family,0,0,0,16
20,2021-04-13,Residential,0,0,0,31
21,2021-04-13,Mixed-Use/Other,0,0,0,0
22,2021-06-24,Commercial,0,0,0,1
23,2021-06-24,Duplex,0,0,0,12
24,2021-06-24,Empty Lot,0,0,0,84
25,2021-06-24,Multi-Unit,0,0,0,4
26,2021-06-24,Single-Family,0,0,0,16
27,2021-06-24,Residential,0,0,0,32
28,2021-06-24,Mixed-Use/Other,0,0,0,0
29,2021-07-17,Commercial,0,0,0,1
30,2021-07-17,Duplex,0,0,0,12
31,2021-07-17,Empty Lot,0,0,0,84
32,2021-07-17,Multi-Unit,0,0,0,4
33,2021-07-17,Single-Family,0,0,0,16
34,2021-07-17,Residential,0,0,0,32
35,2021-07-17,Mixed-Use/Other,0,0,0,0
36,2021-08-18,Commercial,0,0,0,1
37,2021-08-18,Duplex,0,0,0,12
38,2021-08-18,Empty Lot,0,0,0,84
39,2021-08-18,Multi-Unit,0,0,0,4
40,2021-08-18,Single-Family,0,0,0,16
41,2021-08-18,Residential,0,0,0,32
42,2021-08-18,Mixed-Use/Other,0,0,0,0
43,2021-09-22,Commercial,0,0,0,1
44,2021-09-22,Duplex,0,0,0,12
45,2021-09-22,Empty Lot,0,0,0,84
46,2021-09-22,Multi-Unit,0,0,0,4
47,2021-09-22,Single-Family,0,0,0,16
48,2021-09-22,Residential,0,0,0,32
49,2021-09-22,Mixed-Use/Other,0,0,0,0
50,2021-10-15,Commercial,0,0,0,1
51,2021-10-15,Duplex,0,0,0,12
52,2021-10-15,Empty Lot,0,0,0,82
53,2021-10-15,Multi-Unit,0,0,0,5
54,2021-10-15,Single-Family,0,0,0,16
55,2021-10-15,Residential,0,0,0,33
56,2021-10-15,Mixed-Use/Other,0,0,0,0
57,2021-11-24,Commercial,0,0,0,1
58,2021-11-24,Duplex,0,0,0,12
59,2021-11-24,Empty Lot,0,0,0,81
60,2021-11-24,Multi-Unit,0,0,0,5
61,2021-11-24,Single-Family,0,0,0,16
62,2021-11-24,Residential,0,0,0,33
63,2021-11-24,Mixed-Use/Other,0,0,0,0
64,2021-12-20,Commercial,0,0,0,1
65,2021-12-20,Duplex,0,0,0,12
66,2021-12-20,Empty Lot,0,0,0,81
67,2021-12-20,Multi-Unit,0,0,0,5
68,2021-12-20,Single-Family,0,0,0,16
69,2021-12-20,Residential,0,0,0,33
70,2021-12-20,Mixed-Use/Other,0,0,0,0
71,2021-12-22,Commercial,0,0,0,1
72,2021-12-22,Duplex,0,0,0,13
73,2021-12-22,Empty Lot,0,0,0,78
74,2021-12-22,Multi-Unit,0,0,0,4
75,2021-12-22,Single-Family,0,0,0,15
76,2021-12-22,Residential,0,0,0,32
77,2021-12-22,Mixed-Use/Other,0,0,0,0
78,2022-01-23,Commercial,0,0,0,1
79,2022-01-23,Duplex,0,0,0,13
80,2022-01-23,Empty Lot,0,0,0,78
81,2022-01-23,Multi-Unit,0,0,0,4
82,2022-01-23,Single-Family,0,0,0,15
83,2022-01-23,Residential,0,0,0,32
84,2022-01-23,Mixed-Use/Other,0,0,0,0
85,2022-02-21,Commercial,0,0,0,1
86,2022-02-21,Duplex,0,0,0,12
87,2022-02-21,Empty Lot,0,0,0,78
88,2022-02-21,Multi-Unit,0,0,0,4
89,2022-02-21,Single-Family,0,0,0,15
90,2022-02-21,Residential,0,0,0,31
91,2022-02-21,Mixed-Use/Other,0,0,0,0
92,2022-03-10,Commercial,0,0,0,1
93,2022-03-10,Duplex,0,0,0,12
94,2022-03-10,Empty Lot,0,0,0,78
95,2022-03-10,Multi-Unit,0,0,0,4
96,2022-03-10,Single-Family,0,0,0,15
97,2022-03-10,Residential,0,0,0,31
98,2022-03-10,Mixed-Use/Other,0,0,0,0
99,2022-04-23,Commercial,0,0,0,1
100,2022-04-23,Duplex,0,0,0,12
101,2022-04-23,Empty Lot,0,0,0,79
102,2022-04-23,Multi-Unit,0,0,0,4
103,2022-04-23,Single-Family,0,0,0,14
104,2022-04-23,Residential,0,0,0,30
105,2022-04-23,Mixed-Use/Other,0,0,0,0
106,2022-06-05,Commercial,0,0,0,1
107,2022-06-05,Duplex,0,0,0,12
108,2022-06-05,Empty Lot,0,0,0,79
109,2022-06-05,Multi-Unit,0,0,0,4
110,2022-06-05,Single-Family,0,0,0,14
111,2022-06-05,Residential,0,0,0,30
112,2022-06-05,Mixed-Use/Other,0,0,0,0
113,2022-06-23,Commercial,0,0,0,1
114,2022-06-23,Duplex,0,0,0,12
115,2022-06-23,Empty Lot,0,0,0,79
116,2022-06-23,Multi-Unit,0,0,0,4
117,2022-06-23,Single-Family,0,0,0,14
118,2022-06-23,Residential,0,0,0,30
119,2022-06-23,Mixed-Use/Other,0,0,0,0
120,2022-07-17,Commercial,0,0,0,1
121,2022-07-17,Duplex,0,0,0,12
122,2022-07-17,Empty Lot,0,0,0,79
123,2022-07-17,Multi-Unit,0,0,0,4
124,2022-07-17,Single-Family,0,0,0,14
125,2022-07-17,Residential,0,0,0,30
126,2022-07-17,Mixed-Use/Other,0,0,0,0
127,2022-08-11,Commercial,0,0,0,1
128,2022-08-11,Duplex,0,0,0,10
129,2022-08-11,Empty Lot,0,0,0,82
130,2022-08-11,Multi-Unit,0,0,0,4
131,2022-08-11,Single-Family,0,0,0,13
132,2022-08-11,Residential,0,0,0,27
133,2022-08-11,Mixed-Use/Other,0,0,0,0
134,2022-09-13,Commercial,0,0,0,1
135,2022-09-13,Duplex,0,0,0,10
136,2022-09-13,Empty Lot,0,0,0,84
137,2022-09-13,Multi-Unit,0,0,0,4
138,2022-09-13,Single-Family,0,0,0,11
139,2022-09-13,Residential,0,0,0,25
140,2022-09-13,Mixed-Use/Other,0,0,0,0
141,2022-10-18,Commercial,0,0,0,1
142,2022-10-18,Duplex,0,0,0,10
143,2022-10-18,Empty Lot,0,0,0,85
144,2022-10-18,Multi-Unit,0,0,0,4
145,2022-10-18,Single-Family,0,0,0,10
146,2022-10-18,Residential,0,0,0,24
147,2022-10-18,Mixed-Use/Other,0,0,0,0
148,2022-11-17,Commercial,0,0,0,1
149,2022-11-17,Duplex,0,0,0,11
150,2022-11-17,Empty Lot,0,0,0,82
151,2022-11-17,Multi-Unit,0,0,0,4
152,2022-11-17,Single-Family,0,0,0,12
153,2022-11-17,Residential,0,0,0,27
154,2022-11-17,Mixed-Use/Other,0,0,0,0
155,2022-12-26,Commercial,0,0,0,1
156,2022-12-26,Duplex,0,0,0,11
157,2022-12-26,Empty Lot,0,0,0,82
158,2022-12-26,Multi-Unit,0,0,0,4
159,2022-12-26,Single-Family,0,0,0,12
