,Date,Type,B_Zero,B_Low,B_Medium,B_High
0,2021-03-01,Commercial,2.0,20.0,11.0,14.0
1,2021-03-01,Duplex,10.0,91.0,82.0,90.0
2,2021-03-01,Empty Lot,5.0,57.0,32.0,4.0
3,2021-03-01,Multi-Unit,6.0,31.0,31.0,40.0
4,2021-03-01,Other,0.0,12.0,3.0,8.0
5,2021-03-01,Single-Family,33.0,162.0,133.0,93.0
6,2021-03-01,Residential,49.0,284.0,246.0,223.0
7,2021-03-01,Mixed-Use/Other,0.0,12.0,3.0,8.0
8,2021-04-01,Commercial,1.0,7.0,5.0,6.0
9,2021-04-01,Duplex,19.0,79.0,71.0,51.0
10,2021-04-01,Empty Lot,22.0,37.0,12.0,5.0
11,2021-04-01,Mixed-Use,1.0,2.0,3.0,4.0
12,2021-04-01,Multi-Unit,3.0,28.0,28.0,33.0
13,2021-04-01,Single-Family,37.0,154.0,105.0,53.0
14,2021-04-01,Residential,59.0,261.0,204.0,137.0
15,2021-04-01,Mixed-Use/Other,1.0,2.0,3.0,4.0
16,2021-04-13,Commercial,5.0,10.0,5.0,9.0
17,2021-04-13,Duplex,47.0,103.0,78.0,54.0
18,2021-04-13,Empty Lot,42.0,47.0,11.0,5.0
19,2021-04-13,Mixed-Use,1.0,6.0,2.0,5.0
20,2021-04-13,Multi-Unit,14.0,34.0,32.0,33.0
21,2021-04-13,Single-Family,86.0,187.0,112.0,58.0
22,2021-04-13,Residential,147.0,324.0,222.0,145.0
23,2021-04-13,Mixed-Use/Other,1.0,6.0,2.0,5.0
24,2021-06-24,Commercial,6.0,9.0,4.0,11.0
25,2021-06-24,Duplex,38.0,86.0,50.0,83.0
26,2021-06-24,Empty Lot,18.0,59.0,11.0,4.0
27,2021-06-24,Mixed-Use,1.0,3.0,2.0,5.0
28,2021-06-24,Multi-Unit,10.0,24.0,25.0,45.0
29,2021-06-24,Single-Family,81.0,126.0,89.0,90.0
30,2021-06-24,Residential,129.0,236.0,164.0,218.0
31,2021-06-24,Mixed-Use/Other,1.0,3.0,2.0,5.0
32,2021-07-17,Commercial,6.0,9.0,4.0,11.0
33,2021-07-17,Duplex,39.0,87.0,50.0,83.0
34,2021-07-17,Empty Lot,17.0,60.0,11.0,4.0
35,2021-07-17,Mixed-Use,1.0,3.0,2.0,5.0
36,2021-07-17,Multi-Unit,10.0,24.0,26.0,45.0
37,2021-07-17,Single-Family,79.0,125.0,88.0,91.0
38,2021-07-17,Residential,128.0,236.0,164.0,219.0
39,2021-07-17,Mixed-Use/Other,1.0,3.0,2.0,5.0
40,2021-08-18,Commercial,5.0,9.0,4.0,11.0
41,2021-08-18,Duplex,40.0,83.0,53.0,83.0
42,2021-08-18,Empty Lot,19.0,59.0,11.0,4.0
43,2021-08-18,Mixed-Use,1.0,3.0,3.0,5.0
44,2021-08-18,Multi-Unit,11.0,24.0,26.0,45.0
45,2021-08-18,Single-Family,83.0,123.0,89.0,92.0
46,2021-08-18,Residential,134.0,230.0,168.0,220.0
47,2021-08-18,Mixed-Use/Other,1.0,3.0,3.0,5.0
48,2021-09-22,Commercial,5.0,8.0,4.0,11.0
49,2021-09-22,Duplex,42.0,84.0,54.0,83.0
50,2021-09-22,Empty Lot,20.0,59.0,11.0,4.0
51,2021-09-22,Mixed-Use,1.0,3.0,3.0,5.0
52,2021-09-22,Multi-Unit,12.0,24.0,25.0,46.0
53,2021-09-22,Single-Family,85.0,123.0,91.0,92.0
54,2021-09-22,Residential,139.0,231.0,170.0,221.0
55,2021-09-22,Mixed-Use/Other,1.0,3.0,3.0,5.0
56,2021-10-15,Commercial,5.0,8.0,4.0,11.0
57,2021-10-15,Duplex,39.0,85.0,55.0,83.0
58,2021-10-15,Empty Lot,21.0,57.0,12.0,4.0
59,2021-10-15,Mixed-Use,1.0,5.0,3.0,6.0
60,2021-10-15,Multi-Unit,13.0,24.0,24.0,46.0
61,2021-10-15,Single-Family,89.0,124.0,94.0,91.0
62,2021-10-15,Residential,141.0,233.0,173.0,220.0
63,2021-10-15,Mixed-Use/Other,1.0,5.0,3.0,6.0
64,2021-11-24,Commercial,5.0,9.0,4.0,11.0
65,2021-11-24,Duplex,42.0,83.0,57.0,82.0
66,2021-11-24,Empty Lot,24.0,54.0,13.0,3.0
67,2021-11-24,Mixed-Use,1.0,4.0,3.0,6.0
68,2021-11-24,Multi-Unit,12.0,26.0,27.0,45.0
69,2021-11-24,Single-Family,89.0,125.0,93.0,94.0
70,2021-11-24,Residential,143.0,234.0,177.0,221.0
71,2021-11-24,Mixed-Use/Other,1.0,4.0,3.0,6.0
72,2021-12-20,Commercial,5.0,10.0,4.0,11.0
73,2021-12-20,Duplex,43.0,82.0,56.0,83.0
74,2021-12-20,Empty Lot,24.0,54.0,13.0,3.0
75,2021-12-20,Mixed-Use,1.0,4.0,3.0,6.0
76,2021-12-20,Multi-Unit,12.0,24.0,28.0,45.0
77,2021-12-20,Single-Family,90.0,124.0,94.0,95.0
78,2021-12-20,Residential,145.0,230.0,178.0,223.0
79,2021-12-20,Mixed-Use/Other,1.0,4.0,3.0,6.0
80,2021-12-22,Commercial,6.0,10.0,5.0,8.0
81,2021-12-22,Duplex,50.0,82.0,54.0,80.0
82,2021-12-22,Empty Lot,30.0,55.0,11.0,2.0
83,2021-12-22,Mixed-Use,3.0,3.0,3.0,6.0
84,2021-12-22,Multi-Unit,13.0,23.0,33.0,37.0
85,2021-12-22,Single-Family,89.0,135.0,77.0,81.0
86,2021-12-22,Residential,152.0,240.0,164.0,198.0
87,2021-12-22,Mixed-Use/Other,3.0,3.0,3.0,6.0
88,2022-01-23,Commercial,2.0,8.0,6.0,10.0
89,2022-01-23,Duplex,28.0,87.0,54.0,89.0
90,2022-01-23,Empty Lot,9.0,71.0,14.0,4.0
91,2022-01-23,Mixed-Use,2.0,4.0,3.0,6.0
92,2022-01-23,Multi-Unit,4.0,24.0,29.0,44.0
93,2022-01-23,Single-Family,61.0,129.0,88.0,92.0
94,2022-01-23,Residential,93.0,240.0,171.0,225.0
95,2022-01-23,Mixed-Use/Other,2.0,4.0,3.0,6.0
96,2022-02-21,Commercial,5.0,9.0,5.0,8.0
97,2022-02-21,Duplex,43.0,81.0,50.0,88.0
98,2022-02-21,Empty Lot,14.0,59.0,12.0,4.0
99,2022-02-21,Mixed-Use,0.0,5.0,2.0,6.0
100,2022-02-21,Multi-Unit,11.0,20.0,29.0,41.0
101,2022-02-21,Single-Family,62.0,117.0,83.0,90.0
102,2022-02-21,Residential,116.0,218.0,162.0,219.0
103,2022-02-21,Mixed-Use/Other,0.0,5.0,2.0,6.0
104,2022-03-10,Commercial,4.0,10.0,4.0,9.0
105,2022-03-10,Duplex,48.0,83.0,56.0,88.0
106,2022-03-10,Empty Lot,17.0,59.0,12.0,3.0
107,2022-03-10,Mixed-Use,0.0,5.0,2.0,6.0
108,2022-03-10,Multi-Unit,12.0,21.0,28.0,41.0
109,2022-03-10,Single-Family,67.0,121.0,93.0,88.0
110,2022-03-10,Residential,127.0,225.0,177.0,217.0
111,2022-03-10,Mixed-Use/Other,0.0,5.0,2.0,6.0
112,2022-04-23,Commercial,4.0,11.0,3.0,10.0
113,2022-04-23,Duplex,44.0,83.0,64.0,83.0
114,2022-04-23,Empty Lot,20.0,57.0,11.0,3.0
115,2022-04-23,Mixed-Use,0.0,5.0,2.0,6.0
116,2022-04-23,Multi-Unit,10.0,23.0,29.0,40.0
117,2022-04-23,Single-Family,69.0,121.0,98.0,89.0
118,2022-04-23,Residential,123.0,227.0,191.0,212.0
119,2022-04-23,Mixed-Use/Other,0.0,5.0,2.0,6.0
120,2022-06-05,Commercial,4.0,9.0,5.0,10.0
121,2022-06-05,Duplex,47.0,83.0,59.0,85.0
122,2022-06-05,Empty Lot,22.0,58.0,11.0,3.0
123,2022-06-05,Mixed-Use,0.0,5.0,1.0,6.0
124,2022-06-05,Multi-Unit,12.0,25.0,29.0,41.0
125,2022-06-05,Single-Family,72.0,122.0,97.0,90.0
126,2022-06-05,Residential,131.0,230.0,185.0,216.0
127,2022-06-05,Mixed-Use/Other,0.0,5.0,1.0,6.0
128,2022-06-23,Commercial,4.0,8.0,6.0,10.0
129,2022-06-23,Duplex,45.0,84.0,63.0,79.0
130,2022-06-23,Empty Lot,25.0,62.0,7.0,4.0
131,2022-06-23,Mixed-Use,0.0,5.0,0.0,6.0
132,2022-06-23,Multi-Unit,12.0,25.0,28.0,41.0
133,2022-06-23,Single-Family,75.0,123.0,94.0,92.0
134,2022-06-23,Residential,132.0,232.0,185.0,212.0
135,2022-06-23,Mixed-Use/Other,0.0,5.0,0.0,6.0
136,2022-07-17,Commercial,4.0,8.0,7.0,10.0
137,2022-07-17,Duplex,49.0,81.0,64.0,80.0
138,2022-07-17,Empty Lot,23.0,63.0,7.0,3.0
139,2022-07-17,Mixed-Use,0.0,5.0,1.0,5.0
140,2022-07-17,Multi-Unit,11.0,24.0,30.0,40.0
141,2022-07-17,Single-Family,79.0,130.0,91.0,89.0
142,2022-07-17,Residential,139.0,235.0,185.0,209.0
143,2022-07-17,Mixed-Use/Other,0.0,5.0,1.0,5.0
144,2022-08-11,Commercial,5.0,5.0,7.0,10.0
145,2022-08-11,Duplex,52.0,81.0,63.0,78.0
146,2022-08-11,Empty Lot,24.0,68.0,9.0,4.0
147,2022-08-11,Mixed-Use,0.0,5.0,1.0,5.0
148,2022-08-11,Multi-Unit,15.0,24.0,28.0,41.0
149,2022-08-11,Single-Family,85.0,126.0,83.0,86.0
150,2022-08-11,Residential,152.0,231.0,174.0,205.0
151,2022-08-11,Mixed-Use/Other,0.0,5.0,1.0,5.0
152,2022-09-13,Commercial,5.0,5.0,7.0,10.0
153,2022-09-13,Duplex,35.0,79.0,61.0,77.0
154,2022-09-13,Empty Lot,23.0,66.0,11.0,9.0
155,2022-09-13,Mixed-Use,0.0,5.0,1.0,5.0
156,2022-09-13,Multi-Unit,11.0,26.0,23.0,40.0
157,2022-09-13,Single-Family,52.0,122.0,79.0,86.0
158,2022-09-13,Residential,98.0,227.0,163.0,203.0
159,2022-09-13,Mixed-Use/Other,0.0,5.0,1.0,5.0
160,2022-10-18,Commercial,2.0,7.0,7.0,8.0
161,2022-10-18,Duplex,21.0,74.0,69.0,78.0
162,2022-10-18,Empty Lot,29.0,62.0,12.0,8.0
163,2022-10-18,Mixed-Use,0.0,4.0,2.0,5.0
164,2022-10-18,Multi-Unit,4.0,26.0,25.0,39.0
165,2022-10-18,Single-Family,30.0,128.0,87.0,87.0
166,2022-10-18,Residential,55.0,228.0,181.0,204.0
167,2022-10-18,Mixed-Use/Other,0.0,4.0,2.0,5.0
168,2022-11-17,Commercial,2.0,7.0,7.0,8.0
169,2022-11-17,Duplex,21.0,76.0,64.0,81.0
170,2022-11-17,Empty Lot,28.0,64.0,12.0,6.0
171,2022-11-17,Mixed-Use,0.0,4.0,2.0,5.0
172,2022-11-17,Multi-Unit,5.0,25.0,26.0,39.0
173,2022-11-17,Single-Family,31.0,128.0,89.0,84.0
174,2022-11-17,Residential,57.0,229.0,179.0,204.0
175,2022-11-17,Mixed-Use/Other,0.0,4.0,2.0,5.0
176,2022-12-26,Commercial,2.0,7.0,6.0,9.0
177,2022-12-26,Duplex,26.0,72.0,72.0,74.0
178,2022-12-26,Empty Lot,35.0,65.0,14.0,5.0
179,2022-12-26,Mixed-Use,0.0,5.0,1.0,5.0
180,2022-12-26,Multi-Unit,4.0,23.0,24.0,41.0
181,2022-12-26,Single-Family,31.0,125.0,91.0,85.0
182,2022-12-26,Residential,61.0,220.0,187.0,200.0
183,2022-12-26,Mixed-Use/Other,0.0,5.0,1.0,5.0
184,2023-03-28,Commercial,2.0,8.0,8.0,6.0
185,2023-03-28,Duplex,16.0,67.0,66.0,59.0
186,2023-03-28,Empty Lot,51.0,56.0,8.0,1.0
187,2023-03-28,Mixed-Use,0.0,6.0,0.0,5.0
188,2023-03-28,Multi-Unit,3.0,30.0,28.0,30.0
189,2023-03-28,Single-Family,26.0,121.0,84.0,68.0
190,2023-03-28,Residential,45.0,218.0,178.0,157.0
191,2023-03-28,Mixed-Use/Other,0.0,6.0,0.0,5.0
192,2023-04-22,Commercial,2.0,8.0,7.0,7.0
193,2023-04-22,Duplex,14.0,69.0,70.0,54.0
194,2023-04-22,Empty Lot,46.0,62.0,7.0,1.0
195,2023-04-22,Mixed-Use,0.0,5.0,1.0,5.0
196,2023-04-22,Multi-Unit,3.0,29.0,31.0,27.0
197,2023-04-22,Single-Family,21.0,124.0,83.0,68.0
198,2023-04-22,Residential,38.0,222.0,184.0,149.0
199,2023-04-22,Mixed-Use/Other,0.0,5.0,1.0,5.0
200,2023-05-02,Commercial,1.0,2.0,5.0,16.0
201,2023-05-02,Duplex,4.0,68.0,82.0,78.0
202,2023-05-02,Empty Lot,8.0,87.0,15.0,9.0
203,2023-05-02,Mixed-Use,0.0,2.0,3.0,6.0
204,2023-05-02,Multi-Unit,3.0,18.0,35.0,35.0
205,2023-05-02,Single-Family,4.0,134.0,102.0,93.0
206,2023-05-02,Residential,11.0,220.0,219.0,206.0
207,2023-05-02,Mixed-Use/Other,0.0,2.0,3.0,6.0
208,2023-11-01,Commercial,1.0,7.0,4.0,11.0
209,2023-11-01,Duplex,10.0,67.0,69.0,64.0
210,2023-11-01,Empty Lot,15.0,90.0,11.0,4.0
211,2023-11-01,Mixed-Use,1.0,5.0,2.0,6.0
212,2023-11-01,Multi-Unit,2.0,31.0,29.0,35.0
213,2023-11-01,Single-Family,25.0,129.0,87.0,82.0
214,2023-11-01,Residential,37.0,227.0,185.0,181.0
215,2023-11-01,Mixed-Use/Other,1.0,5.0,2.0,6.0
216,2021-03-01,Commercial,2.0,20.0,11.0,14.0
217,2021-03-01,Duplex,10.0,91.0,82.0,90.0
218,2021-03-01,Empty Lot,5.0,57.0,32.0,4.0
219,2021-03-01,Multi-Unit,6.0,31.0,31.0,40.0
220,2021-03-01,Other,0.0,12.0,3.0,8.0
221,2021-03-01,Single-Family,33.0,162.0,133.0,93.0
222,2021-03-01,Residential,49.0,284.0,246.0,223.0
223,2021-03-01,Mixed-Use/Other,0.0,12.0,3.0,8.0
224,2021-03-01,Residential,49.0,284.0,246.0,223.0
225,2021-03-01,Mixed-Use/Other,0.0,12.0,3.0,8.0
226,2021-03-01,Residential,49.0,284.0,246.0,223.0
227,2021-03-01,Mixed-Use/Other,0.0,12.0,3.0,8.0
228,2021-03-01,Residential,49.0,284.0,246.0,223.0
229,2021-03-01,Mixed-Use/Other,0.0,12.0,3.0,8.0
230,2021-03-01,Residential,49.0,284.0,246.0,223.0
231,2021-03-01,Mixed-Use/Other,0.0,12.0,3.0,8.0
232,2021-03-01,Residential,49.0,284.0,246.0,223.0
233,2021-03-01,Mixed-Use/Other,0.0,12.0,3.0,8.0
234,2021-04-01,Commercial,1.0,7.0,5.0,6.0
235,2021-04-01,Duplex,19.0,79.0,71.0,51.0
236,2021-04-01,Empty Lot,22.0,37.0,12.0,5.0
237,2021-04-01,Mixed-Use,1.0,2.0,3.0,4.0
238,2021-04-01,Multi-Unit,3.0,28.0,28.0,33.0
239,2021-04-01,Single-Family,37.0,154.0,105.0,53.0
240,2021-04-01,Residential,59.0,261.0,204.0,137.0
241,2021-04-01,Mixed-Use/Other,1.0,2.0,3.0,4.0
242,2021-04-01,Residential,59.0,261.0,204.0,137.0
243,2021-04-01,Mixed-Use/Other,1.0,2.0,3.0,4.0
244,2021-04-01,Residential,59.0,261.0,204.0,137.0
245,2021-04-01,Mixed-Use/Other,1.0,2.0,3.0,4.0
246,2021-04-01,Residential,59.0,261.0,204.0,137.0
247,2021-04-01,Mixed-Use/Other,1.0,2.0,3.0,4.0
248,2021-04-01,Residential,59.0,261.0,204.0,137.0
249,2021-04-01,Mixed-Use/Other,1.0,2.0,3.0,4.0
250,2021-04-01,Residential,59.0,261.0,204.0,137.0
251,2021-04-01,Mixed-Use/Other,1.0,2.0,3.0,4.0
252,2021-04-13,Commercial,5.0,10.0,5.0,9.0
253,2021-04-13,Duplex,47.0,103.0,78.0,54.0
254,2021-04-13,Empty Lot,42.0,47.0,11.0,5.0
255,2021-04-13,Mixed-Use,1.0,6.0,2.0,5.0
256,2021-04-13,Multi-Unit,14.0,34.0,32.0,33.0
257,2021-04-13,Single-Family,86.0,187.0,112.0,58.0
258,2021-04-13,Residential,147.0,324.0,222.0,145.0
259,2021-04-13,Mixed-Use/Other,1.0,6.0,2.0,5.0
260,2021-04-13,Residential,147.0,324.0,222.0,145.0
261,2021-04-13,Mixed-Use/Other,1.0,6.0,2.0,5.0
262,2021-04-13,Residential,147.0,324.0,222.0,145.0
263,2021-04-13,Mixed-Use/Other,1.0,6.0,2.0,5.0
264,2021-04-13,Residential,147.0,324.0,222.0,145.0
265,2021-04-13,Mixed-Use/Other,1.0,6.0,2.0,5.0
266,2021-04-13,Residential,147.0,324.0,222.0,145.0
267,2021-04-13,Mixed-Use/Other,1.0,6.0,2.0,5.0
268,2021-04-13,Residential,147.0,324.0,222.0,145.0
