,Date,Type,V_Indeterminant,V_Possible,V_Very_Likely,V_Definite
0,2021-03-01,Commercial,10.0,2.0,27.0,8.0
1,2021-03-01,Duplex,39.0,10.0,156.0,68.0
2,2021-03-01,Empty Lot,15.0,7.0,75.0,1.0
3,2021-03-01,Multi-Unit,15.0,5.0,48.0,40.0
4,2021-03-01,Other,6.0,1.0,12.0,4.0
5,2021-03-01,Single-Family,91.0,29.0,218.0,83.0
6,2021-03-01,Residential,145.0,44.0,422.0,191.0
7,2021-03-01,Mixed-Use/Other,6.0,1.0,12.0,4.0
8,2021-04-01,Commercial,3.0,2.0,9.0,5.0
9,2021-04-01,Duplex,27.0,0.0,124.0,69.0
10,2021-04-01,Empty Lot,9.0,1.0,61.0,5.0
11,2021-04-01,Mixed-Use,0.0,0.0,7.0,3.0
12,2021-04-01,Multi-Unit,8.0,0.0,44.0,40.0
13,2021-04-01,Single-Family,69.0,9.0,189.0,82.0
14,2021-04-01,Residential,104.0,9.0,357.0,191.0
15,2021-04-01,Mixed-Use/Other,0.0,0.0,7.0,3.0
16,2021-04-13,Commercial,3.0,2.0,19.0,5.0
17,2021-04-13,Duplex,26.0,0.0,187.0,69.0
18,2021-04-13,Empty Lot,9.0,1.0,90.0,5.0
19,2021-04-13,Mixed-Use,0.0,0.0,11.0,3.0
20,2021-04-13,Multi-Unit,9.0,0.0,64.0,40.0
21,2021-04-13,Single-Family,69.0,9.0,283.0,82.0
22,2021-04-13,Residential,104.0,9.0,534.0,191.0
23,2021-04-13,Mixed-Use/Other,0.0,0.0,11.0,3.0
24,2021-06-24,Commercial,4.0,2.0,19.0,5.0
25,2021-06-24,Duplex,12.0,1.0,175.0,69.0
26,2021-06-24,Empty Lot,8.0,2.0,81.0,1.0
27,2021-06-24,Mixed-Use,0.0,0.0,9.0,2.0
28,2021-06-24,Multi-Unit,3.0,0.0,57.0,44.0
29,2021-06-24,Single-Family,37.0,4.0,263.0,82.0
30,2021-06-24,Residential,52.0,5.0,495.0,195.0
31,2021-06-24,Mixed-Use/Other,0.0,0.0,9.0,2.0
32,2021-07-17,Commercial,4.0,2.0,19.0,5.0
33,2021-07-17,Duplex,13.0,1.0,176.0,69.0
34,2021-07-17,Empty Lot,8.0,2.0,81.0,1.0
35,2021-07-17,Mixed-Use,0.0,0.0,9.0,2.0
36,2021-07-17,Multi-Unit,4.0,0.0,57.0,44.0
37,2021-07-17,Single-Family,36.0,5.0,260.0,82.0
38,2021-07-17,Residential,53.0,6.0,493.0,195.0
