,Date,Type,B_Zero,B_Low,B_Medium,B_High
0,2021-03-01,Commercial,2.0,14.0,8.0,8.0
1,2021-03-01,Duplex,9.0,62.0,52.0,71.0
2,2021-03-01,Empty Lot,5.0,44.0,42.0,39.0
3,2021-03-01,Multi-Unit,4.0,19.0,18.0,29.0
4,2021-03-01,Other,0.0,7.0,6.0,7.0
5,2021-03-01,Single-Family,19.0,105.0,90.0,70.0
6,2021-04-01,Commercial,0.0,4.0,4.0,1.0
7,2021-04-01,Duplex,7.0,56.0,44.0,42.0
8,2021-04-01,Empty Lot,14.0,29.0,8.0,25.0
9,2021-04-01,Mixed-Use,0.0,2.0,2.0,3.0
10,2021-04-01,Multi-Unit,1.0,13.0,20.0,24.0
11,2021-04-01,Single-Family,22.0,98.0,65.0,43.0
12,2021-04-13,Commercial,4.0,7.0,4.0,4.0
13,2021-04-13,Duplex,29.0,76.0,50.0,44.0
14,2021-04-13,Empty Lot,32.0,39.0,7.0,61.0
15,2021-04-13,Mixed-Use,0.0,6.0,1.0,4.0
16,2021-04-13,Multi-Unit,9.0,18.0,24.0,24.0
17,2021-04-13,Single-Family,63.0,125.0,74.0,46.0
18,2021-06-24,Commercial,5.0,5.0,3.0,6.0
19,2021-06-24,Duplex,29.0,57.0,32.0,65.0
20,2021-06-24,Empty Lot,12.0,48.0,8.0,63.0
21,2021-06-24,Mixed-Use,1.0,3.0,0.0,4.0
22,2021-06-24,Multi-Unit,7.0,14.0,12.0,34.0
23,2021-06-24,Single-Family,62.0,86.0,59.0,65.0
24,2021-07-17,Commercial,5.0,5.0,3.0,6.0
25,2021-07-17,Duplex,30.0,57.0,32.0,65.0
26,2021-07-17,Empty Lot,11.0,49.0,8.0,63.0
27,2021-07-17,Mixed-Use,1.0,3.0,0.0,4.0
28,2021-07-17,Multi-Unit,7.0,14.0,12.0,34.0
29,2021-07-17,Single-Family,60.0,85.0,59.0,65.0
30,2021-08-18,Commercial,4.0,5.0,3.0,6.0
31,2021-08-18,Duplex,31.0,55.0,34.0,65.0
32,2021-08-18,Empty Lot,11.0,48.0,8.0,63.0
33,2021-08-18,Mixed-Use,1.0,3.0,0.0,4.0
34,2021-08-18,Multi-Unit,8.0,14.0,12.0,34.0
35,2021-08-18,Single-Family,61.0,82.0,60.0,66.0
36,2021-09-22,Commercial,4.0,4.0,3.0,6.0
37,2021-09-22,Duplex,32.0,56.0,35.0,65.0
38,2021-09-22,Empty Lot,11.0,48.0,8.0,63.0
39,2021-09-22,Mixed-Use,1.0,3.0,0.0,4.0
40,2021-09-22,Multi-Unit,9.0,14.0,12.0,34.0
41,2021-09-22,Single-Family,64.0,80.0,62.0,66.0
42,2021-10-15,Commercial,4.0,4.0,3.0,6.0
43,2021-10-15,Duplex,31.0,56.0,35.0,65.0
44,2021-10-15,Empty Lot,12.0,46.0,9.0,61.0
45,2021-10-15,Mixed-Use,1.0,4.0,0.0,5.0
