,Date,Type,V_Indeterminant,V_Possible,V_Very_Likely,V_Definite
0,2021-03-01,Commercial,10.0,2.0,27.0,9.0
1,2021-03-01,Duplex,39.0,10.0,156.0,80.0
2,2021-03-01,Empty Lot,15.0,7.0,75.0,77.0
3,2021-03-01,Multi-Unit,15.0,5.0,48.0,43.0
4,2021-03-01,Other,6.0,1.0,12.0,10.0
5,2021-03-01,Single-Family,91.0,29.0,218.0,100.0
6,2021-04-01,Commercial,3.0,2.0,9.0,6.0
7,2021-04-01,Duplex,27.0,0.0,124.0,81.0
8,2021-04-01,Empty Lot,9.0,1.0,61.0,47.0
9,2021-04-01,Mixed-Use,0.0,0.0,7.0,3.0
10,2021-04-01,Multi-Unit,8.0,0.0,44.0,43.0
11,2021-04-01,Single-Family,69.0,9.0,189.0,98.0
12,2021-04-13,Commercial,3.0,2.0,19.0,6.0
13,2021-04-13,Duplex,26.0,0.0,187.0,81.0
14,2021-04-13,Empty Lot,9.0,1.0,90.0,90.0
15,2021-04-13,Mixed-Use,0.0,0.0,11.0,3.0
16,2021-04-13,Multi-Unit,9.0,0.0,64.0,43.0
17,2021-04-13,Single-Family,69.0,9.0,283.0,98.0
18,2021-06-24,Commercial,4.0,2.0,19.0,6.0
19,2021-06-24,Duplex,12.0,1.0,175.0,81.0
20,2021-06-24,Empty Lot,8.0,2.0,81.0,85.0
21,2021-06-24,Mixed-Use,0.0,0.0,9.0,2.0
22,2021-06-24,Multi-Unit,3.0,0.0,57.0,48.0
23,2021-06-24,Single-Family,37.0,4.0,263.0,98.0
24,2021-07-17,Commercial,4.0,2.0,19.0,6.0
25,2021-07-17,Duplex,13.0,1.0,176.0,81.0
26,2021-07-17,Empty Lot,8.0,2.0,81.0,85.0
27,2021-07-17,Mixed-Use,0.0,0.0,9.0,2.0
28,2021-07-17,Multi-Unit,4.0,0.0,57.0,48.0
29,2021-07-17,Single-Family,36.0,5.0,260.0,98.0
30,2021-08-18,Commercial,4.0,2.0,18.0,6.0
31,2021-08-18,Duplex,13.0,1.0,176.0,81.0
32,2021-08-18,Empty Lot,8.0,2.0,82.0,85.0
33,2021-08-18,Mixed-Use,1.0,0.0,9.0,2.0
34,2021-08-18,Multi-Unit,3.0,1.0,58.0,48.0
35,2021-08-18,Single-Family,38.0,4.0,263.0,98.0
36,2021-09-22,Commercial,4.0,2.0,17.0,6.0
37,2021-09-22,Duplex,15.0,1.0,178.0,81.0
38,2021-09-22,Empty Lot,8.0,2.0,83.0,85.0
39,2021-09-22,Mixed-Use,1.0,0.0,9.0,2.0
40,2021-09-22,Multi-Unit,3.0,1.0,59.0,48.0
41,2021-09-22,Single-Family,39.0,5.0,265.0,98.0
42,2021-10-15,Commercial,4.0,2.0,17.0,6.0
43,2021-10-15,Duplex,16.0,1.0,176.0,81.0
44,2021-10-15,Empty Lot,8.0,2.0,83.0,83.0
45,2021-10-15,Mixed-Use,0.0,0.0,13.0,2.0
46,2021-10-15,Multi-Unit,4.0,1.0,58.0,49.0
47,2021-10-15,Single-Family,40.0,5.0,270.0,99.0
48,2021-11-24,Commercial,4.0,2.0,18.0,6.0
49,2021-11-24,Duplex,14.0,1.0,180.0,81.0
50,2021-11-24,Empty Lot,8.0,2.0,83.0,82.0
51,2021-11-24,Mixed-Use,0.0,0.0,12.0,2.0
52,2021-11-24,Multi-Unit,3.0,1.0,62.0,49.0
53,2021-11-24,Single-Family,41.0,5.0,272.0,99.0
54,2021-12-20,Commercial,4.0,3.0,18.0,6.0
55,2021-12-20,Duplex,14.0,1.0,180.0,81.0
56,2021-12-20,Empty Lot,8.0,2.0,83.0,82.0
57,2021-12-20,Mixed-Use,0.0,0.0,12.0,2.0
58,2021-12-20,Multi-Unit,3.0,1.0,61.0,49.0
59,2021-12-20,Single-Family,41.0,5.0,274.0,99.0
60,2021-12-22,Commercial,3.0,2.0,20.0,5.0
61,2021-12-22,Duplex,7.0,0.0,195.0,77.0
62,2021-12-22,Empty Lot,9.0,1.0,87.0,79.0
63,2021-12-22,Mixed-Use,1.0,0.0,12.0,2.0
64,2021-12-22,Multi-Unit,1.0,1.0,62.0,46.0
65,2021-12-22,Single-Family,20.0,2.0,283.0,92.0
66,2022-01-23,Commercial,3.0,2.0,17.0,5.0
67,2022-01-23,Duplex,6.0,0.0,190.0,75.0
68,2022-01-23,Empty Lot,6.0,1.0,90.0,79.0
69,2022-01-23,Mixed-Use,0.0,0.0,13.0,2.0
70,2022-01-23,Multi-Unit,2.0,0.0,59.0,44.0
71,2022-01-23,Single-Family,18.0,4.0,268.0,95.0
72,2022-02-21,Commercial,3.0,2.0,18.0,5.0
73,2022-02-21,Duplex,9.0,0.0,188.0,77.0
74,2022-02-21,Empty Lot,7.0,1.0,80.0,79.0
75,2022-02-21,Mixed-Use,2.0,0.0,9.0,2.0
76,2022-02-21,Multi-Unit,3.0,0.0,55.0,47.0
77,2022-02-21,Single-Family,21.0,4.0,245.0,97.0
78,2022-03-10,Commercial,3.0,2.0,17.0,6.0
79,2022-03-10,Duplex,11.0,0.0,197.0,79.0
80,2022-03-10,Empty Lot,8.0,0.0,82.0,79.0
81,2022-03-10,Mixed-Use,2.0,0.0,8.0,3.0
82,2022-03-10,Multi-Unit,3.0,0.0,54.0,49.0
83,2022-03-10,Single-Family,20.0,3.0,252.0,109.0
84,2022-04-23,Commercial,4.0,2.0,17.0,6.0
85,2022-04-23,Duplex,10.0,0.0,138.0,138.0
86,2022-04-23,Empty Lot,10.0,0.0,81.0,79.0
87,2022-04-23,Mixed-Use,2.0,0.0,7.0,4.0
88,2022-04-23,Multi-Unit,5.0,0.0,39.0,62.0
89,2022-04-23,Single-Family,19.0,2.0,198.0,172.0
90,2022-06-05,Commercial,4.0,2.0,17.0,6.0
91,2022-06-05,Duplex,9.0,0.0,122.0,155.0
