,Date,Type,B_Zero,B_Low,B_Medium,B_High
0,2021-03-01,Commercial,0,0,6,68.0
1,2021-03-01,Duplex,0,0,27,678.0
2,2021-03-01,Empty Lot,0,0,715,4969.0
3,2021-03-01,Multi-Unit,0,0,2,151.0
4,2021-03-01,Other,0,0,37,166.0
5,2021-03-01,Single-Family,0,0,35,886.0
6,2021-03-01,Residential,0,0,64,1715.0
7,2021-03-01,Mixed-Use/Other,0,0,37,166.0
8,2021-04-01,Commercial,0,0,0,64.0
9,2021-04-01,Duplex,0,0,0,679.0
10,2021-04-01,Empty Lot,0,0,0,7761.0
11,2021-04-01,Mixed-Use,0,0,0,22.0
12,2021-04-01,Multi-Unit,0,0,0,154.0
13,2021-04-01,Single-Family,0,0,0,1094.0
14,2021-04-01,Residential,0,0,0,1927.0
15,2021-04-01,Mixed-Use/Other,0,0,0,22.0
16,2021-04-13,Commercial,0,0,0,69.0
17,2021-04-13,Duplex,0,0,0,695.0
18,2021-04-13,Empty Lot,0,0,0,8268.0
19,2021-04-13,Mixed-Use,0,0,0,22.0
20,2021-04-13,Multi-Unit,0,0,0,158.0
21,2021-04-13,Single-Family,0,0,0,1110.0
22,2021-04-13,Residential,0,0,0,1963.0
23,2021-04-13,Mixed-Use/Other,0,0,0,22.0
24,2021-06-24,Commercial,0,0,0,73.0
25,2021-06-24,Duplex,0,0,0,684.0
26,2021-06-24,Empty Lot,0,0,0,8224.0
27,2021-06-24,Mixed-Use,0,0,0,17.0
28,2021-06-24,Multi-Unit,0,0,0,166.0
29,2021-06-24,Single-Family,0,0,0,1084.0
30,2021-06-24,Residential,0,0,0,1934.0
31,2021-06-24,Mixed-Use/Other,0,0,0,17.0
32,2021-07-17,Commercial,0,0,0,73.0
33,2021-07-17,Duplex,0,0,0,684.0
34,2021-07-17,Empty Lot,0,0,0,8221.0
35,2021-07-17,Mixed-Use,0,0,0,17.0
36,2021-07-17,Multi-Unit,0,0,0,165.0
37,2021-07-17,Single-Family,0,0,0,1080.0
38,2021-07-17,Residential,0,0,0,1929.0
39,2021-07-17,Mixed-Use/Other,0,0,0,17.0
40,2021-08-18,Commercial,0,0,0,73.0
41,2021-08-18,Duplex,0,0,0,684.0
42,2021-08-18,Empty Lot,0,0,0,8219.0
43,2021-08-18,Mixed-Use,0,0,0,17.0
44,2021-08-18,Multi-Unit,0,0,0,165.0
45,2021-08-18,Single-Family,0,0,0,1080.0
46,2021-08-18,Residential,0,0,0,1929.0
47,2021-08-18,Mixed-Use/Other,0,0,0,17.0
48,2021-09-22,Commercial,0,0,0,73.0
49,2021-09-22,Duplex,0,0,0,684.0
50,2021-09-22,Empty Lot,0,0,0,8219.0
51,2021-09-22,Mixed-Use,0,0,0,17.0
52,2021-09-22,Multi-Unit,0,0,0,165.0
53,2021-09-22,Single-Family,0,0,0,1080.0
54,2021-09-22,Residential,0,0,0,1929.0
55,2021-09-22,Mixed-Use/Other,0,0,0,17.0
56,2021-10-15,Commercial,0,0,0,73.0
57,2021-10-15,Duplex,0,0,0,685.0
58,2021-10-15,Empty Lot,0,0,0,8208.0
59,2021-10-15,Mixed-Use,0,0,0,17.0
60,2021-10-15,Multi-Unit,0,0,0,166.0
61,2021-10-15,Single-Family,0,0,0,1080.0
62,2021-10-15,Residential,0,0,0,1931.0
63,2021-10-15,Mixed-Use/Other,0,0,0,17.0
64,2021-11-24,Commercial,0,0,0,73.0
65,2021-11-24,Duplex,0,0,0,685.0
66,2021-11-24,Empty Lot,0,0,0,8204.0
67,2021-11-24,Mixed-Use,0,0,0,17.0
68,2021-11-24,Multi-Unit,0,0,0,165.0
69,2021-11-24,Single-Family,0,0,0,1080.0
70,2021-11-24,Residential,0,0,0,1930.0
71,2021-11-24,Mixed-Use/Other,0,0,0,17.0
72,2021-12-20,Commercial,0,0,0,73.0
73,2021-12-20,Duplex,0,0,0,685.0
74,2021-12-20,Empty Lot,0,0,0,8204.0
75,2021-12-20,Mixed-Use,0,0,0,17.0
76,2021-12-20,Multi-Unit,0,0,0,165.0
77,2021-12-20,Single-Family,0,0,0,1080.0
78,2021-12-20,Residential,0,0,0,1930.0
79,2021-12-20,Mixed-Use/Other,0,0,0,17.0
80,2021-12-22,Commercial,0,0,0,68.0
81,2021-12-22,Duplex,0,0,0,677.0
82,2021-12-22,Empty Lot,0,0,0,8099.0
83,2021-12-22,Mixed-Use,0,0,0,17.0
84,2021-12-22,Multi-Unit,0,0,0,157.0
85,2021-12-22,Single-Family,0,0,0,1045.0
86,2021-12-22,Residential,0,0,0,1879.0
87,2021-12-22,Mixed-Use/Other,0,0,0,17.0
88,2022-01-23,Commercial,0,0,0,63.0
89,2022-01-23,Duplex,0,0,0,675.0
90,2022-01-23,Empty Lot,0,0,0,8107.0
91,2022-01-23,Mixed-Use,0,0,0,17.0
92,2022-01-23,Multi-Unit,0,0,0,156.0
93,2022-01-23,Single-Family,0,0,0,1043.0
94,2022-01-23,Residential,0,0,0,1874.0
95,2022-01-23,Mixed-Use/Other,0,0,0,17.0
96,2022-02-21,Commercial,0,0,0,62.0
97,2022-02-21,Duplex,0,0,0,678.0
98,2022-02-21,Empty Lot,0,0,0,8071.0
99,2022-02-21,Mixed-Use,0,0,0,17.0
100,2022-02-21,Multi-Unit,0,0,0,154.0
101,2022-02-21,Single-Family,0,0,0,1043.0
102,2022-02-21,Residential,0,0,0,1875.0
103,2022-02-21,Mixed-Use/Other,0,0,0,17.0
104,2022-03-10,Commercial,0,0,0,63.0
105,2022-03-10,Duplex,0,0,0,679.0
106,2022-03-10,Empty Lot,0,0,0,8077.0
107,2022-03-10,Mixed-Use,0,0,0,17.0
108,2022-03-10,Multi-Unit,0,0,0,156.0
109,2022-03-10,Single-Family,0,0,0,1046.0
110,2022-03-10,Residential,0,0,0,1881.0
111,2022-03-10,Mixed-Use/Other,0,0,0,17.0
112,2022-04-23,Commercial,0,0,0,64.0
113,2022-04-23,Duplex,0,0,0,679.0
114,2022-04-23,Empty Lot,0,0,0,8073.0
115,2022-04-23,Mixed-Use,0,0,0,17.0
116,2022-04-23,Multi-Unit,0,0,0,157.0
117,2022-04-23,Single-Family,0,0,0,1052.0
118,2022-04-23,Residential,0,0,0,1888.0
119,2022-04-23,Mixed-Use/Other,0,0,0,17.0
120,2022-06-05,Commercial,0,0,0,58.0
121,2022-06-05,Duplex,0,0,0,674.0
122,2022-06-05,Empty Lot,0,0,0,8103.0
