,Date,Type,V_Indeterminant,V_Possible,V_Very_Likely,V_Definite
0,2021-03-01,Commercial,0,0,0,74
1,2021-03-01,Duplex,0,0,0,705
2,2021-03-01,Empty Lot,0,0,0,5684
3,2021-03-01,Multi-Unit,0,0,0,153
4,2021-03-01,Other,0,0,0,203
5,2021-03-01,Single-Family,0,0,0,921
6,2021-03-01,Residential,0,0,0,1779
7,2021-03-01,Mixed-Use/Other,0,0,0,203
8,2021-04-01,Commercial,0,0,0,64
9,2021-04-01,Duplex,0,0,0,679
10,2021-04-01,Empty Lot,0,0,0,7761
11,2021-04-01,Mixed-Use,0,0,0,22
12,2021-04-01,Multi-Unit,0,0,0,154
13,2021-04-01,Single-Family,0,0,0,1094
14,2021-04-01,Residential,0,0,0,1927
15,2021-04-01,Mixed-Use/Other,0,0,0,22
16,2021-04-13,Commercial,0,0,0,69
17,2021-04-13,Duplex,0,0,0,695
18,2021-04-13,Empty Lot,0,0,0,8268
19,2021-04-13,Mixed-Use,0,0,0,22
20,2021-04-13,Multi-Unit,0,0,0,158
21,2021-04-13,Single-Family,0,0,0,1110
22,2021-04-13,Residential,0,0,0,1963
23,2021-04-13,Mixed-Use/Other,0,0,0,22
24,2021-06-24,Commercial,0,0,0,73
25,2021-06-24,Duplex,0,0,0,684
26,2021-06-24,Empty Lot,0,0,0,8224
27,2021-06-24,Mixed-Use,0,0,0,17
28,2021-06-24,Multi-Unit,0,0,0,166
29,2021-06-24,Single-Family,0,0,0,1084
30,2021-06-24,Residential,0,0,0,1934
31,2021-06-24,Mixed-Use/Other,0,0,0,17
32,2021-07-17,Commercial,0,0,0,73
33,2021-07-17,Duplex,0,0,0,684
34,2021-07-17,Empty Lot,0,0,0,8221
35,2021-07-17,Mixed-Use,0,0,0,17
36,2021-07-17,Multi-Unit,0,0,0,165
37,2021-07-17,Single-Family,0,0,0,1080
38,2021-07-17,Residential,0,0,0,1929
39,2021-07-17,Mixed-Use/Other,0,0,0,17
40,2021-08-18,Commercial,0,0,0,73
41,2021-08-18,Duplex,0,0,0,684
42,2021-08-18,Empty Lot,0,0,0,8219
43,2021-08-18,Mixed-Use,0,0,0,17
44,2021-08-18,Multi-Unit,0,0,0,165
45,2021-08-18,Single-Family,0,0,0,1080
46,2021-08-18,Residential,0,0,0,1929
47,2021-08-18,Mixed-Use/Other,0,0,0,17
48,2021-09-22,Commercial,0,0,0,73
49,2021-09-22,Duplex,0,0,0,684
50,2021-09-22,Empty Lot,0,0,0,8219
51,2021-09-22,Mixed-Use,0,0,0,17
52,2021-09-22,Multi-Unit,0,0,0,165
53,2021-09-22,Single-Family,0,0,0,1080
54,2021-09-22,Residential,0,0,0,1929
55,2021-09-22,Mixed-Use/Other,0,0,0,17
56,2021-10-15,Commercial,0,0,0,73
57,2021-10-15,Duplex,0,0,0,685
58,2021-10-15,Empty Lot,0,0,0,8208
59,2021-10-15,Mixed-Use,0,0,0,17
60,2021-10-15,Multi-Unit,0,0,0,166
61,2021-10-15,Single-Family,0,0,0,1080
62,2021-10-15,Residential,0,0,0,1931
63,2021-10-15,Mixed-Use/Other,0,0,0,17
64,2021-11-24,Commercial,0,0,0,73
65,2021-11-24,Duplex,0,0,0,685
66,2021-11-24,Empty Lot,0,0,0,8204
67,2021-11-24,Mixed-Use,0,0,0,17
68,2021-11-24,Multi-Unit,0,0,0,165
69,2021-11-24,Single-Family,0,0,0,1080
70,2021-11-24,Residential,0,0,0,1930
71,2021-11-24,Mixed-Use/Other,0,0,0,17
72,2021-12-20,Commercial,0,0,0,73
73,2021-12-20,Duplex,0,0,0,685
74,2021-12-20,Empty Lot,0,0,0,8204
75,2021-12-20,Mixed-Use,0,0,0,17
76,2021-12-20,Multi-Unit,0,0,0,165
77,2021-12-20,Single-Family,0,0,0,1080
78,2021-12-20,Residential,0,0,0,1930
79,2021-12-20,Mixed-Use/Other,0,0,0,17
80,2021-12-22,Commercial,0,0,0,68
81,2021-12-22,Duplex,0,0,0,677
82,2021-12-22,Empty Lot,0,0,0,8099
83,2021-12-22,Mixed-Use,0,0,0,17
84,2021-12-22,Multi-Unit,0,0,0,157
85,2021-12-22,Single-Family,0,0,0,1045
86,2021-12-22,Residential,0,0,0,1879
87,2021-12-22,Mixed-Use/Other,0,0,0,17
88,2022-01-23,Commercial,0,0,0,63
89,2022-01-23,Duplex,0,0,0,675
90,2022-01-23,Empty Lot,0,0,0,8107
91,2022-01-23,Mixed-Use,0,0,0,17
92,2022-01-23,Multi-Unit,0,0,0,156
93,2022-01-23,Single-Family,0,0,0,1043
94,2022-01-23,Residential,0,0,0,1874
95,2022-01-23,Mixed-Use/Other,0,0,0,17
96,2022-02-21,Commercial,0,0,0,62
97,2022-02-21,Duplex,0,0,0,678
98,2022-02-21,Empty Lot,0,0,0,8071
99,2022-02-21,Mixed-Use,0,0,0,17
100,2022-02-21,Multi-Unit,0,0,0,154
101,2022-02-21,Single-Family,0,0,0,1043
102,2022-02-21,Residential,0,0,0,1875
103,2022-02-21,Mixed-Use/Other,0,0,0,17
104,2022-03-10,Commercial,0,0,0,63
105,2022-03-10,Duplex,0,0,0,679
106,2022-03-10,Empty Lot,0,0,0,8077
107,2022-03-10,Mixed-Use,0,0,0,17
108,2022-03-10,Multi-Unit,0,0,0,156
109,2022-03-10,Single-Family,0,0,0,1046
110,2022-03-10,Residential,0,0,0,1881
111,2022-03-10,Mixed-Use/Other,0,0,0,17
112,2022-04-23,Commercial,0,0,0,64
113,2022-04-23,Duplex,0,0,0,679
114,2022-04-23,Empty Lot,0,0,0,8073
115,2022-04-23,Mixed-Use,0,0,0,17
116,2022-04-23,Multi-Unit,0,0,0,157
117,2022-04-23,Single-Family,0,0,0,1052
118,2022-04-23,Residential,0,0,0,1888
119,2022-04-23,Mixed-Use/Other,0,0,0,17
120,2022-06-05,Commercial,0,0,0,58
121,2022-06-05,Duplex,0,0,0,674
122,2022-06-05,Empty Lot,0,0,0,8103
123,2022-06-05,Mixed-Use,0,0,0,16
124,2022-06-05,Multi-Unit,0,0,0,155
125,2022-06-05,Single-Family,0,0,0,1042
126,2022-06-05,Residential,0,0,0,1871
127,2022-06-05,Mixed-Use/Other,0,0,0,16
128,2022-06-23,Commercial,0,0,0,58
129,2022-06-23,Duplex,0,0,0,674
130,2022-06-23,Empty Lot,0,0,0,8103
131,2022-06-23,Mixed-Use,0,0,0,16
