,Date,B_Zero,B_Low,B_Medium,B_High
0,2021-03-01,39,251,216,224
1,2021-04-01,44,202,143,138
2,2021-04-13,137,271,160,183
3,2021-06-24,116,213,114,237
4,2021-07-17,114,213,114,237
5,2021-08-18,116,207,117,238
6,2021-09-22,121,205,120,238
7,2021-10-15,126,205,120,238
8,2021-11-24,130,204,122,236
9,2021-12-20,132,201,122,238
10,2021-12-22,144,202,117,215
11,2022-01-23,84,212,121,232
12,2022-02-21,104,183,115,230
13,2022-03-10,113,190,120,230
14,2022-04-23,107,194,126,229
15,2022-06-05,116,199,125,225
16,2022-06-23,120,203,120,223
17,2022-07-17,121,204,120,222
18,2022-08-11,132,198,115,223
19,2022-09-13,81,198,107,228
20,2022-10-18,61,195,118,228
21,2022-11-17,62,193,119,227
22,2022-12-26,70,189,122,225
23,2023-03-28,67,177,121,192
24,2023-04-22,60,183,128,184
25,2023-05-02,14,204,146,234
26,2023-11-01,38,216,130,201
