,Date,B_Zero,B_Low,B_Medium,B_High
0,2021-03-01,33,234,156,217
1,2021-04-01,77,190,147,181
2,2021-04-13,103,203,146,194
3,2021-06-24,82,168,117,221
4,2021-07-17,85,165,117,223
5,2021-08-18,89,167,122,224
6,2021-09-22,92,170,124,227
7,2021-10-15,91,171,128,231
8,2021-11-24,93,171,129,234
9,2021-12-20,93,171,131,234
10,2021-12-22,99,164,119,222
11,2022-01-23,51,164,126,249
12,2022-02-21,65,171,110,235
13,2022-03-10,75,173,123,233
14,2022-04-23,81,165,129,232
15,2022-06-05,87,161,126,241
16,2022-06-23,88,165,127,237
17,2022-07-17,96,179,130,237
18,2022-08-11,102,182,133,236
19,2022-09-13,99,173,134,235
20,2022-10-18,59,161,138,235
21,2022-11-17,62,166,135,231
22,2022-12-26,63,166,140,229
23,2023-03-28,58,181,125,184
24,2023-04-22,53,184,119,188
25,2023-05-02,15,164,150,257
26,2023-11-01,43,177,128,211
