,Date,V_Indeterminate,V_Possible,V_Very_likely,V_Definite
0,2021-03-01,126,36,310,168
1,2021-04-01,83,10,332,170
2,2021-04-13,82,10,376,178
3,2021-06-24,53,7,353,175
4,2021-07-17,51,8,355,176
5,2021-08-18,53,11,362,176
6,2021-09-22,57,11,369,176
7,2021-10-15,61,13,371,176
8,2021-11-24,55,12,384,176
9,2021-12-20,55,13,385,176
10,2021-12-22,33,9,392,170
11,2022-01-23,31,10,379,170
12,2022-02-21,29,10,373,169
13,2022-03-10,24,10,402,168
14,2022-04-23,29,9,318,251
15,2022-06-05,29,7,294,285
16,2022-06-23,26,7,289,295
17,2022-07-17,34,7,303,298
18,2022-08-11,36,8,311,298
19,2022-09-13,38,8,298,297
20,2022-10-18,53,11,229,300
21,2022-11-17,57,7,229,301
22,2022-12-26,63,4,240,291
23,2023-03-28,87,13,171,277
24,2023-04-22,85,12,171,276
25,2023-05-02,63,5,231,287
26,2023-11-01,83,13,212,251
