,Date,V_Indeterminate,V_Possible,V_Very_likely,V_Definite
0,2021-03-01,0,0,0,115
1,2021-04-01,0,0,0,74
2,2021-04-13,0,0,0,117
3,2021-06-24,0,0,0,117
4,2021-07-17,0,0,0,117
5,2021-08-18,0,0,0,117
6,2021-09-22,0,0,0,117
7,2021-10-15,0,0,0,116
8,2021-11-24,0,0,0,115
9,2021-12-20,0,0,0,115
10,2021-12-22,0,0,0,111
11,2022-01-23,0,0,0,111
12,2022-02-21,0,0,0,110
13,2022-03-10,0,0,0,110
14,2022-04-23,0,0,0,110
15,2022-06-05,0,0,0,110
16,2022-06-23,0,0,0,110
17,2022-07-17,0,0,0,110
18,2022-08-11,0,0,0,110
19,2022-09-13,0,0,0,110
20,2022-10-18,0,0,0,110
21,2022-11-17,0,0,0,110
22,2022-12-26,0,0,0,110
23,2023-03-28,0,0,0,102
24,2023-04-22,0,0,0,102
25,2023-05-02,0,0,0,106
26,2023-11-01,0,0,0,97
