,Date,B_Zero,B_Low,B_Medium,B_High
0,2021-03-01,56,373,292,249
1,2021-04-01,83,307,224,152
2,2021-04-13,195,387,240,164
3,2021-06-24,154,307,181,238
4,2021-07-17,152,308,181,239
5,2021-08-18,159,301,186,240
6,2021-09-22,165,301,188,241
7,2021-10-15,168,303,192,241
8,2021-11-24,173,301,197,241
9,2021-12-20,175,298,198,243
10,2021-12-22,191,308,183,214
11,2022-01-23,106,323,194,245
12,2022-02-21,135,291,181,237
13,2022-03-10,148,299,195,235
14,2022-04-23,147,300,207,231
15,2022-06-05,157,302,202,235
16,2022-06-23,161,307,198,232
17,2022-07-17,166,311,200,227
18,2022-08-11,181,309,191,224
19,2022-09-13,126,303,182,227
20,2022-10-18,86,301,202,225
21,2022-11-17,87,304,200,223
22,2022-12-26,98,297,208,219
23,2023-03-28,98,288,194,169
24,2023-04-22,86,297,199,162
25,2023-05-02,20,311,242,237
26,2023-11-01,54,329,202,202
