,Date,V_Indeterminate,V_Possible,V_Very_Likely,V_Definite
0,2021-03-01,112,36,362,220
1,2021-04-01,83,6,252,186
2,2021-04-13,82,6,441,222
3,2021-06-24,46,5,408,221
4,2021-07-17,45,6,406,221
5,2021-08-18,46,5,406,221
6,2021-09-22,49,6,408,221
7,2021-10-15,50,6,412,221
8,2021-11-24,49,6,417,220
9,2021-12-20,49,6,418,220
10,2021-12-22,28,2,438,210
11,2022-01-23,22,2,416,209
12,2022-02-21,32,2,382,216
13,2022-03-10,37,1,380,235
14,2022-04-23,36,1,302,317
15,2022-06-05,36,1,285,343
16,2022-06-23,35,1,286,344
17,2022-07-17,37,1,289,340
18,2022-08-11,34,2,293,339
19,2022-09-13,34,4,236,340
20,2022-10-18,36,5,227,334
21,2022-11-17,36,6,227,332
22,2022-12-26,36,4,238,328
23,2023-03-28,46,9,195,307
24,2023-04-22,46,9,193,307
25,2023-05-02,37,5,233,323
26,2023-11-01,50,14,221,300
