,Date,B_Zero,B_Low,B_Medium,B_High
0,2021-03-01,56,373,313,343
1,2021-04-01,83,307,224,226
2,2021-04-13,195,387,240,281
3,2021-06-24,154,307,181,355
4,2021-07-17,152,308,181,356
5,2021-08-18,159,301,186,357
6,2021-09-22,165,301,188,358
7,2021-10-15,168,303,192,357
8,2021-11-24,173,301,197,356
9,2021-12-20,175,298,198,358
10,2021-12-22,191,308,183,325
11,2022-01-23,106,323,194,356
12,2022-02-21,135,291,181,347
13,2022-03-10,148,299,195,345
14,2022-04-23,147,300,207,341
15,2022-06-05,157,302,202,345
16,2022-06-23,161,307,198,342
17,2022-07-17,166,311,200,337
18,2022-08-11,181,309,191,334
19,2022-09-13,126,303,182,337
20,2022-10-18,86,301,202,335
21,2022-11-17,87,304,200,333
22,2022-12-26,98,297,208,329
23,2023-03-28,98,288,194,271
24,2023-04-22,86,297,199,264
25,2023-05-02,20,311,242,343
26,2023-11-01,54,329,202,299
