,Date,V_Indeterminate,V_Possible,V_Very_likely,V_Definite
0,2021-03-01,176,54,536,319
1,2021-04-01,116,12,434,278
2,2021-04-13,116,12,654,321
3,2021-06-24,64,9,604,320
4,2021-07-17,65,10,602,320
5,2021-08-18,67,10,606,320
6,2021-09-22,70,11,611,320
7,2021-10-15,72,11,617,320
8,2021-11-24,70,11,627,319
9,2021-12-20,70,12,628,319
10,2021-12-22,41,6,659,301
11,2022-01-23,35,7,637,300
12,2022-02-21,45,7,595,307
13,2022-03-10,47,5,610,325
14,2022-04-23,50,4,480,461
15,2022-06-05,50,4,442,510
16,2022-06-23,47,4,439,518
17,2022-07-17,53,3,444,514
18,2022-08-11,49,4,449,513
19,2022-09-13,50,7,377,514
20,2022-10-18,55,7,352,510
21,2022-11-17,56,8,352,508
22,2022-12-26,57,5,367,503
23,2023-03-28,78,11,287,475
24,2023-04-22,76,11,285,474
25,2023-05-02,58,7,356,495
26,2023-11-01,82,17,336,449
