,Date,V_Indeterminate,V_Possible,V_Very_likely,V_Definite
0,2021-03-01,2479,968,7784,9882
1,2021-04-01,2188,284,7841,12549
2,2021-04-13,2171,279,11126,13098
3,2021-06-24,1811,253,11117,12982
4,2021-07-17,1737,248,11221,12992
5,2021-08-18,1835,260,11311,12995
6,2021-09-22,1886,264,11369,13004
7,2021-10-15,1915,268,11376,13005
8,2021-11-24,1850,269,11505,13009
9,2021-12-20,1878,276,11358,13013
10,2021-12-22,1319,224,11642,12781
11,2022-01-23,1348,229,11354,12782
12,2022-02-21,1348,216,11114,12863
13,2022-03-10,1356,202,10416,13844
14,2022-04-23,1321,185,9872,14391
15,2022-06-05,1261,167,9957,14676
16,2022-06-23,1216,170,9961,14692
17,2022-07-17,1195,168,10066,14693
18,2022-08-11,1277,176,10267,14689
19,2022-09-13,1292,186,10043,14687
20,2022-10-18,1354,212,9766,14670
21,2022-11-17,1392,216,9626,14684
22,2022-12-26,1429,213,9664,14623
23,2023-03-28,1690,289,8793,14390
24,2023-04-22,1667,275,8799,14388
25,2023-05-02,1371,168,9598,14564
26,2023-11-01,1580,248,9394,14211
