,Date,Type,B_Zero,B_Low,B_Medium,B_High
0,2021-09-22,Commercial,5.0,8.0,4.0,11.0
1,2021-09-22,Duplex,42.0,84.0,54.0,83.0
2,2021-09-22,Empty Lot,20.0,59.0,11.0,4.0
3,2021-09-22,Mixed-Use,1.0,3.0,3.0,5.0
4,2021-09-22,Multi-Unit,12.0,24.0,25.0,46.0
5,2021-09-22,Single-Family,85.0,123.0,91.0,92.0
6,2021-09-22,Residential,139.0,231.0,170.0,221.0
7,2021-09-22,Mixed-Use/Other,1.0,3.0,3.0,5.0
8,2021-09-22,Residential,139.0,231.0,170.0,221.0
9,2021-09-22,Mixed-Use/Other,1.0,3.0,3.0,5.0
10,2021-09-22,Residential,139.0,231.0,170.0,221.0
11,2021-09-22,Mixed-Use/Other,1.0,3.0,3.0,5.0
12,2021-09-22,Residential,139.0,231.0,170.0,221.0
13,2021-09-22,Mixed-Use/Other,1.0,3.0,3.0,5.0
14,2021-09-22,Residential,139.0,231.0,170.0,221.0
15,2021-09-22,Mixed-Use/Other,1.0,3.0,3.0,5.0
16,2021-09-22,Residential,139.0,231.0,170.0,221.0
17,2021-09-22,Mixed-Use/Other,1.0,3.0,3.0,5.0
