,Date,Type,V_Indeterminant,V_Possible,V_Very_Likely,V_Definite
0,2022-06-23,Commercial,0,0,0,1
1,2022-06-23,Duplex,0,0,0,12
2,2022-06-23,Empty Lot,0,0,0,79
3,2022-06-23,Multi-Unit,0,0,0,4
4,2022-06-23,Single-Family,0,0,0,14
5,2022-06-23,Residential,0,0,0,30
6,2022-06-23,Mixed-Use/Other,0,0,0,0
7,2022-06-23,Residential,0,0,0,30
8,2022-06-23,Mixed-Use/Other,0,0,0,0
9,2022-06-23,Residential,0,0,0,30
10,2022-06-23,Mixed-Use/Other,0,0,0,0
11,2022-06-23,Residential,0,0,0,30
12,2022-06-23,Mixed-Use/Other,0,0,0,0
13,2022-06-23,Residential,0,0,0,30
14,2022-06-23,Mixed-Use/Other,0,0,0,0
15,2022-06-23,Residential,0,0,0,30
16,2022-06-23,Mixed-Use/Other,0,0,0,0
